Year,Filename,Title,Authors,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,Flag_Grad,Flag_HighQ,Flag_WB,Flag_NoEcon,Flag_NoCode,Flag_NoReal,Traditional_Score
2022,sec22-li-changjiang.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Seeing is Living? Rethinking the Security of  Facial Liveness Verification in the Deepfake Era Changjiang Li, Pennsylvania State University and Zhejiang University;   Li Wang, Shan",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-li-huiying.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Blacklight: Scalable Defense for Neural Networks  against Query-Based Black-Box Attacks Huiying Li, Shawn Shan, and Emily Wenger, University of Chicago; Jiayun Zhang,   Fudan Unive",def,Evasion,DL,Images,YES,YES,NO,Black-box,None,NO,High,Low,0,1,0,0,0,1,2
2022,sec22-liu-hongbin.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.PoisonedEncoder: Poisoning the Unlabeled   Pre-training Data in Contrastive Learning Hongbin Liu, Jinyuan Jia, and Neil Zhenqiang Gong, Duke University https://www.usenix.org/confe",atk,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-liu-yugeng.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access to the Proceedings of the  31st USENIX Security Symposium is  sponsored by USENIX.ML-D octor : Holistic Risk Assessment of Inference ",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-nguyen.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","31st USENIX Security Symposium is  sponsored by USENIX.FLAME: Taming Backdoors in Federated Learning Thien Duc Nguyen and Phillip Rieger, Technical University of Darmstadt;   Huili Chen, University of",def,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-pan-exploring.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Exploring the Security Boundary of Data  Reconstruction via Neuron Exclusivity Analysis Xudong Pan, Mi Zhang, Yifan Yan, Jiaming Zhu, and Min Yang, Fudan University https://www.use",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-pan-hidden.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Hidden Trigger Backdoor Attack on NLP Models   via Linguistic Style Manipulation Xudong Pan, Mi Zhang, Beina Sheng, Jiaming Zhu, and Min Yang, Fudan University https://www.usenix.o",atk,Poisoning,DL,Text,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-pang-ren.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","31st USENIX Security Symposium is  sponsored by USENIX.On the Security Risks of AutoML Ren Pang and Zhaohan Xi, Pennsylvania State University; Shouling Ji,   Zhejiang University; Xiapu Luo, Hong Kong ",atk,Multiple,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-shan.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","Attacks in Neural Networks Shawn Shan, Arjun Nitin Bhagoji, Haitao Zheng,   and Ben Y. Zhao, University of Chicago https://www.usenix.org/conference/usenixsecurity22/presentation/shan",atk,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-tang.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Mitigating Membership Inference Attacks by   Self-Distillation Through a Novel Ensemble Architecture Xinyu Tang, Saeed Mahloujifar, and Liwei Song, Princeton University;   Virat Sh",def,Privacy,DL,Images,YES,YES,NO,Black-box,Partial,NO,Low,Low,0,0,0,0,0,1,1
2022,sec22-vaishnavi.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Transferring Adversarial Robustness Through  Robust Representation Matching Pratik Vaishnavi, Stony Brook University; Kevin Eykholt, IBM;   Amir Rahmati, Stony Brook University htt",def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-xiang.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.PatchCleanser: Certifiably Robust Defense against  Adversarial Patches for Any Image Classifier Chong Xiang, Saeed Mahloujifar, and Prateek Mittal, Princeton University https://www",def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-yan.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Rolling Colors: Adversarial Laser Exploits  against Traffic Light Recognition Chen Yan, Zhejiang University; Zhijian Xu, Zhejiang University and   The Chinese University of Hong Ko",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-yuan-xiaoyong.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access to the Proceedings of the  31st USENIX Security Symposium is  sponsored by USENIX.Membership Inference Attacks and   Defenses in Neur",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-zhang-zhikun.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access to the Proceedings of the  31st USENIX Security Symposium is  sponsored by USENIX.Inference Attacks Against Graph Neural Networks Zhi",atk,Privacy,DL,Other,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22-zhou-ce.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","Estimation based Obstacle Avoidance in  Autonomous Systems Ce Zhou, Qiben Yan, and Yan Shi, Michigan State University;   Lichao Sun, Lehigh University https://www.usenix.org/conference/usenixsecurity2",atk,Evasion,DL,Images,YES,YES,NO,Black-box,None,NO,High,Low,0,1,0,0,0,1,2
2022,sec22fall_mehnaz.pdf,"Are Your Sensitive Attributes Private? Novel Model Inversion Attribute Inference Attacks on Classiﬁcation Models Shagufta Mehnaz1, Sayanton V . Dibbo1","Novel Model Inversion Attribute Inference Attacks on Classiﬁcation Models Shagufta Mehnaz1, Sayanton V . Dibbo1, Ehsanul Kabir1, Ninghui Li2, and Elisa Bertino2 1Department of Computer Science, Dartmo",atk,Privacy,Both,Other,YES,YES,NO,Black-box,None,NO,High,Low,0,1,0,0,0,1,2
2022,sec22summer_arp.pdf,"Dos and Don'ts of Machine Learning in Computer Security Daniel Arp, Erwin Quiring†, Feargus Pendlebury‡ §, Alexander Warnecke†, Fabio Pierazzi‡, Chri","Technische Universität Berlin †Technische Universität Braunschweig ‡King’s College London ,kUniversity College London §Royal Holloway, University of London and The Alan Turing Institute ¶KASTEL Secur",def,NA,Both,Malware,YES,NO,NO,Black-box,None,NO,None,Low,0,0,0,0,1,1,2
2022,sec22summer_hua.pdf,"Increasing Adversarial Uncertainty to Scale Private Similarity Testing Yiqing Hua1;2, Armin Namavari1;2, Kaishuo Cheng2, Mor Naaman1;2, Thomas Ristenp","Increasing Adversarial Uncertainty to Scale Private Similarity Testing Yiqing Hua1;2, Armin Namavari1;2, Kaishuo Cheng2, Mor Naaman1;2, Thomas Ristenpart1;2 1Cornell Tech2Cornell University Abstract S",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,sec22summer_zhang-zhikun.pdf,Inference Attacks Against Graph Neural Networks Zhikun Zhang1Min Chen1*Michael Backes1Yun Shen2Yang Zhang1 1CISPA Helmholtz Center for Information Se,"1CISPA Helmholtz Center for Information Security 2Norton Research Group Abstract Graph is an important data representation ubiquitously ex- isting in the real world. However, analyzing the graph data ",atk,Privacy,DL,Other,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,2302.09491v1.pdf,"XX-Adv: Physical Adversarial Object Attacks against X-ray Prohibited Item Detection Aishan Liu1*, Jun Guo1*, Jiakai Wang2, Siyuan Liang3, Renshuai Tao","Aishan Liu1*, Jun Guo1*, Jiakai Wang2, Siyuan Liang3, Renshuai Tao1, Wenbo Zhou4, Cong Liu5, Xianglong Liu1;2;6†, Dacheng Tao7 1Beihang University,2Zhongguancun Laboratory,3Chinese Academy of Sciences",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23_slides_eykholt.pdf,"URET: Universal Robustness Evaluation Toolkit (for Evasion)Kevin Eykholt, Taesung Lee, Douglas Schales, Jiyong Jang, Ian Molloy and Masha Zorin",,atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23fall-prepub-2-li-heng.pdf,"Black-box Adversarial Example Attack towards FCG Based Android Malware Detection under Incomplete Feature Information Heng Li†, Zhang Cheng‡,†, Bang W","Detection under Incomplete Feature Information Heng Li†, Zhang Cheng‡,†, Bang Wu†, Liheng Y uan†, Cuiying Gao†, Wei Y uan†∗, Xiapu Luo⋆ †Huazhong University of Science and Technology ⋆The Hong Kong Po",atk,Evasion,DL,Malware,YES,NO,NO,Black-box,None,NO,High,Low,0,1,0,0,1,1,3
2023,sec23fall-prepub-28-zhang-boyang.pdf,A Plot is Worth a Thousand Words: Model Information Stealing Attacks via Scientific Plots Boyang Zhang1Xinlei He1Yun Shen2Tianhao Wang3Yang Zhang1 1CI,Scientific Plots Boyang Zhang1Xinlei He1Yun Shen2Tianhao Wang3Yang Zhang1 1CISPA Helmholtz Center for Information Security2NetApp3University of Virginia Abstract Building advanced machine learning (ML,atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23fall-prepub-34-liu-aishan.pdf,"XX-Adv: Physical Adversarial Object Attacks against X-ray Prohibited Item Detection Aishan Liu1*, Jun Guo1*, Jiakai Wang2, Siyuan Liang3, Renshuai Tao","Aishan Liu1*, Jun Guo1*, Jiakai Wang2, Siyuan Liang3, Renshuai Tao1, Wenbo Zhou4, Cong Liu5, Xianglong Liu1;2;6†, Dacheng Tao7 1Beihang University,2Zhongguancun Laboratory,3Chinese Academy of Sciences",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23fall-prepub-353-sandoval.pdf,"Lost at C: A User Study on the Security Implications of Large Language Model Code Assistants Gustavo Sandoval∗, Hammond Pearce∗, Teo Nys, Ramesh Karri","of Large Language Model Code Assistants Gustavo Sandoval∗, Hammond Pearce∗, Teo Nys, Ramesh Karri, Siddharth Garg, Brendan Dolan-Gavitt New York University Abstract Large Language Models (LLMs) such a",def,NA,DL,Other,YES,YES,NO,Black-box,None,NO,Low,Low,0,0,0,0,0,1,1
2023,sec23fall-prepub-421-li-xiaoguang.pdf,"Fine-grained Poisoning Attack to Local Differential Privacy Protocols for Mean and Variance Estimation Xiaoguang Li1,2∗Ninghui Li2Wenhai Sun2Neil Zhen","for Mean and Variance Estimation Xiaoguang Li1,2∗Ninghui Li2Wenhai Sun2Neil Zhenqiang Gong3Hui Li1 1Xidian University,2Purdue University,3Duke University Abstract Although local differential privacy (",atk,Poisoning,Both,Other,YES,NO,NO,White-box,Full,YES,High,Low,1,1,1,0,1,1,5
2023,sec23fall-prepub-427-yang-yuchen.pdf,"PRIVATE FL: Accurate, Differentially Private Federated Learning via Personalized Data Transformation Yuchen Yang∗, Bo Hui∗, Haolin Yuan∗, Neil Gong†, ","via Personalized Data Transformation Yuchen Yang∗, Bo Hui∗, Haolin Yuan∗, Neil Gong†, and Yinzhi Cao The Johns Hopkins University,†Duke University Abstract Federated learning (FL) enables multiple cli",def,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23fall-prepub-85-fu-chong.pdf,"FREE EAGLE : Detecting Complex Neural Trojans in Data-Free Cases Chong Fu1, Xuhong Zhang1, Shouling Ji1, Ting Wang2, Peng Lin3, Y anghe Feng4, and Jia","FREE EAGLE : Detecting Complex Neural Trojans in Data-Free Cases Chong Fu1, Xuhong Zhang1, Shouling Ji1, Ting Wang2, Peng Lin3, Y anghe Feng4, and Jianwei Yin1 1Zhejiang University ,2Pennsylvania Stat",def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23summer_136-li_zheng-prepub.pdf,UnGANable: Defending Against GAN-based Face Manipulation Zheng Li1Ning Yu2Ahmed Salem3Michael Backes1Mario Fritz1Yang Zhang1 1CISPA Helmholtz Center f,1CISPA Helmholtz Center for Information Security 2Salesforce Research3Microsoft Research Abstract Deepfakes pose severe threats of visual misinformation to our society. One representative deepfake app,def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23summer_146-prokos-prepub.pdf,"Squint Hard Enough: Attacking Perceptual Hashing with Adversarial Machine Learning Jonathan Prokos1, Neil Fendley2, Matthew Green1, Roei Schuster3, E","Jonathan Prokos1, Neil Fendley2, Matthew Green1, Roei Schuster3, Eran Tromer4, Tushar M. Jois1, and Yinzhi Cao1 1Johns Hopkins University, jprokos4@gmail.com, {jois, mgreen, yzcao}@cs.jhu.edu 2Johns ",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23summer_349-cao-prepub.pdf,You Can’t See Me: Physical Removal Attacks on LiDAR-based Autonomous Vehicles Driving Frameworks Yulong Cao University of MichiganS. Hrushikesh Bhupat,Vehicles Driving Frameworks Yulong Cao University of MichiganS. Hrushikesh Bhupathiraju University of FloridaPirouz Naghavi University of Florida,atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23summer_372-yue-prepub.pdf,"Gradient Obfuscation Gives a False Sense of Security in Federated Learning Kai Yue,1Richeng Jin,2Chau-Wai Wong,1Dror Baron,1and Huaiyu Dai1 1North Car","Gradient Obfuscation Gives a False Sense of Security in Federated Learning Kai Yue,1Richeng Jin,2Chau-Wai Wong,1Dror Baron,1and Huaiyu Dai1 1North Carolina State University; {kyue, chauwai.wong, dzbar",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23summer_388-rosenberg-prepub (1).pdf,Fairness Properties of Face Recognition and Obfuscation Systems Harrison Rosenberg University of Wisconsin–MadisonBrian Tang University of MichiganKas,Fairness Properties of Face Recognition and Obfuscation Systems Harrison Rosenberg University of Wisconsin–MadisonBrian Tang University of MichiganKassem Fawaz University of Wisconsin–Madison,atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23summer_388-rosenberg-prepub.pdf,Fairness Properties of Face Recognition and Obfuscation Systems Harrison Rosenberg University of Wisconsin–MadisonBrian Tang University of MichiganKas,Fairness Properties of Face Recognition and Obfuscation Systems Harrison Rosenberg University of Wisconsin–MadisonBrian Tang University of MichiganKassem Fawaz University of Wisconsin–Madison,atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,sec23summer_406-liu_zhibo-prepub.pdf,"Decompiling x86 Deep Neural Network Executables Zhibo Liu, Yuanyuan Yuan, Shuai Wang∗ The Hong Kong University of Science and Technology {zliudc,yyuan","Decompiling x86 Deep Neural Network Executables Zhibo Liu, Yuanyuan Yuan, Shuai Wang∗ The Hong Kong University of Science and Technology {zliudc,yyuanaq,shuaiw}@cse.ust.hkXiaofei Xie Singapore Managem",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,usenixsecurity23-ahmed-shimaa.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","is sponsored by USENIX.Tubes Among Us: Analog Attack on  Automatic Speaker Identification Shimaa Ahmed and Yash Wani, University of Wisconsin-Madison;   Ali Shahin Shamsabadi, Alan Turing Institute; M",atk,Evasion,DL,Audio,YES,YES,NO,Black-box,None,NO,High,Low,0,1,0,0,0,1,2
2023,usenixsecurity23-aonzo.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access to the Proceedings of the  32nd USENIX Security Symposium  is sponsored by USENIX.Humans vs. Machines in Malware Classification Simon",def,NA,Both,Malware,YES,YES,NO,Black-box,None,NO,Low,Low,0,0,0,0,0,1,1
2023,usenixsecurity23-bai.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","is sponsored by USENIX.Villain : Backdoor Attacks Against  Vertical Split Learning Yijie Bai and Yanjiao Chen, Zhejiang University; Hanlei Zhang and Wenyuan Xu,  Zhejing University; Haiqin Weng and Do",atk,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,usenixsecurity23-bethany.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","Mazal Bethany, Andrew Seong, Samuel Henrique Silva,   Nicole Beebe, Nishant Vishwamitra, and Peyman Najafirad,   The University of Texas at San Antonio https://www.usenix.org/conference/usenixsecurity",def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,usenixsecurity23-carlini.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","is sponsored by USENIX.Extracting Training Data from Diffusion Models Nicholas Carlini, Google; Jamie Hayes, DeepMind; Milad Nasr and   Matthew Jagielski, Google; Vikash Sehwag, Princeton University; ",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,usenixsecurity23-chen-guangke.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","is sponsored by USENIX.QFA2SR: Query-Free Adversarial Transfer Attacks  to Speaker Recognition Systems Guangke Chen, Yedi Zhang, and Zhe Zhao, ShanghaiTech University; Fu Song,  ShanghaiTech Universit",atk,Evasion,DL,Audio,YES,YES,NO,Black-box,Full,NO,None,Low,0,0,0,0,0,1,1
2023,usenixsecurity23-chen-min.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","Facial Recognition Systems Min Chen, CISPA Helmholtz Center for Information Security; Zhikun Zhang,   CISPA Helmholtz Center for Information Security and Stanford University;   Tianhao Wang, Universit",def,Privacy,DL,Images,YES,YES,NO,Black-box,None,NO,Low,Low,0,0,0,0,0,1,1
2023,usenixsecurity23-chen-yizheng.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access to the Proceedings of the  32nd USENIX Security Symposium  is sponsored by USENIX.Continuous Learning for Android Malware Detection Y",def,NA,DL,Malware,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,usenixsecurity23-christou.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","is sponsored by USENIX.IvySyn: Automated Vulnerability Discovery   in Deep Learning Frameworks Neophytos Christou, Di Jin, and Vaggelis Atlidakis, Brown University;   Baishakhi Ray, Columbia Universit",def,NA,DL,Other,YES,YES,YES,White-box,Full,NO,High,Low,0,1,1,0,0,0,2
2023,usenixsecurity23-deng-zizhuang.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","Zizhuang Deng, Guozhu Meng, Kai Chen, Tong Liu, and Lu Xiang, SKLOIS,   Institute of Information Engineering, Chinese Academy of Sciences, China;   School of Cyber Security, University of Chinese Acad",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,usenixsecurity23-eisenhofer.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","is sponsored by USENIX.No more Reviewer #2: Subverting Automatic   Paper-Reviewer Assignment using Adversarial Learning Thorsten Eisenhofer, Ruhr University Bochum; Erwin Quiring, Ruhr University Boch",atk,Evasion,DL,Text,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2023,usenixsecurity23-eykholt.pdf,"This paper is included in the Proceedings of the  32nd USENIX Security Symposium. August 9–11, 2023 • Anaheim, CA, USA 978-1-939133-37-3 Open access t","Evaluation Toolkit (for Evasion) Kevin Eykholt, Taesung Lee, Douglas Schales, Jiyong Jang, and  Ian Molloy, IBM Research; Masha Zorin, University of Cambridge https://www.usenix.org/conference/usenixs",atk,Evasion,DL,Malware,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
