Year,Conference,Filename,Title,Authors,G1,G2,G3,G4,G5,G6,G7,T1,T2,Q1,Q2,Q3,Flag_Grad,Flag_HighQ,Flag_WB,Flag_NoEcon,Flag_NoCode,Flag_NoReal,Traditional_Score
2022,ACM,3548606.3560561.pdf,Post-breach Recovery:Protectionagainst White-box Advers arial ExamplesforLeaked DNN Models Shawn Shan shawnshan@cs.uchicago.edu University ofChicago C,"ExamplesforLeaked DNN Models Shawn Shan shawnshan@cs.uchicago.edu University ofChicago Chicago,USAWenxinDing",def,Evasion,DL,Images,YES,YES,NO,White-box,Partial,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560566.pdf,"Harnessing Perceptual Adversarial Patches for Crowd Counting Shunchang Liu∗ Beihang University Beijing, China liusc@buaa.edu.cnJiakai Wang∗ Zhongguanc","Harnessing Perceptual Adversarial Patches for Crowd Counting Shunchang Liu∗ Beihang University Beijing, China liusc@buaa.edu.cnJiakai Wang∗",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560573.pdf,Feature Inference Attack on Shapley Values Xinjian Luo National University of Singapore xinjluo@comp.nus.edu.sgYangfan Jiang National University of Si,Feature Inference Attack on Shapley Values Xinjian Luo National University of Singapore xinjluo@comp.nus.edu.sgYangfan Jiang National University of Singapore,atk,Privacy,DL,Other,YES,NO,YES,Black-box,,NO,Low,Low,0,0,0,0,1,0,1
2022,ACM,3548606.3560581.pdf,"QuerySnout: Automating the Discovery of Attribute Inference Attacks against Query-Based Systems Ana-Maria Creţu∗ Imperial College London London, Unite","Imperial College London London, United Kingdom a.cretu@imperial .ac.ukFlorimond Houssiau∗ The Alan Turing Institute London, United Kingdom",atk,Privacy,Both,Other,YES,YES,NO,Black-box,,NO,High,Low,0,1,0,0,0,1,2
2022,ACM,3548606.3560586.pdf,StolenEncoder: Stealing Pre-trained Encoders in Self-supervised Learning Yupei Liu Duke University yupei.liu@duke.eduJinyuan Jia Duke University jinyu,Learning Yupei Liu Duke University yupei.liu@duke.eduJinyuan Jia Duke University,atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560599.pdf,Why So Toxic? Measuring and Triggering Toxic Behavior in Open-Domain Chatbots Wai Man Si CISPA Helmholtz Center for Information SecurityMichael Backes,CISPA Helmholtz Center for Information SecurityJeremy Blackburn Binghamton University Emiliano De Cristofaro University College LondonGianluca Stringhini,atk,Evasion,DL,Text,YES,YES,NO,Black-box,,NO,High,Low,0,1,0,0,0,1,2
2022,ACM,3548606.3560611.pdf,E FFeL: Ensuring Integrity For Federated Learning Amrita Roy Chowdhury∗ University of Wisconsin-MadisonChuan Guo Meta AISomesh Jha† University of Wisc,Amrita Roy Chowdhury∗ University of Wisconsin-MadisonChuan Guo Meta AISomesh Jha†,def,Poisoning,DL,Images,YES,NO,NO,Black-box,,YES,High,Low,1,1,0,0,1,1,4
2022,ACM,3548606.3560615.pdf,"Phishing URL Detection: A Network-based Approach Robust to Evasion Taeri Kim∗ Hanyang University Seoul, Korea taerik@hanyang.ac.krNoseong Park∗ Yonsei","A Network-based Approach Robust to Evasion Taeri Kim∗ Hanyang University Seoul, Korea taerik@hanyang.ac.krNoseong Park∗",def,Evasion,Both,Text,YES,YES,NO,Black-box,,NO,Low,Low,0,0,0,0,0,1,1
2022,ACM,3548606.3560619.pdf,On the Privacy Risks of Cell-Based NAS Architectures Hai Huang CISPA Helmholtz Center for Information SecurityZhikun Zhang CISPA Helmholtz Center for ,CISPA Helmholtz Center for Information SecurityQi Li Tsinghua University & Zhongguancun LabYang Zhang CISPA Helmholtz Center for,atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560621.pdf,"Adversarial Correctness and Privacy for Probabilistic Data Structures Mia Filić ETH Zürich Zürich, Switzerland mia.filic@inf.ethz.chKenneth G. Paterso","ETH Zürich Zürich, Switzerland mia.filic@inf.ethz.chKenneth G. Paterson ETH Zürich Zürich, Switzerland",def,Privacy,Both,Other,YES,NO,NO,Black-box,,NO,Low,Low,0,0,0,0,1,1,2
2022,ACM,3548606.3560660.pdf,SpecPatch: Human-in-the-Loop Adversarial Audio Spectrogram Patch Attack on Speech Recognition Hanqing Guo SEIT Lab Michigan State University East Lans,"Hanqing Guo SEIT Lab Michigan State University East Lansing, MI, USA guohanqi@msu.eduYuanda Wang",atk,Evasion,DL,Audio,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560662.pdf,"Group Property Inference Attacks Against Graph Neural Networks Xiuling Wang Stevens Institute of Technology Hoboken, NJ, USA xwang193@stevens.eduWendy","Stevens Institute of Technology Hoboken, NJ, USA xwang193@stevens.eduWendy Hui Wang Stevens Institute of Technology Hoboken, NJ, USA",atk,Privacy,DL,Other,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560663.pdf,"Are Attribute Inference Attacks Just Imputation? Bargav Jayaraman University of Virginia Charlottesville, VA, USA bj4nq@virginia.eduDavid Evans Univer","Are Attribute Inference Attacks Just Imputation? Bargav Jayaraman University of Virginia Charlottesville, VA, USA bj4nq@virginia.eduDavid Evans",atk,Privacy,DL,Other,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560671.pdf,"When Evil Calls: Targeted Adversarial Voice over IP Network Han Liu Washington University in St. Louis St. Louis, USA h.liu1@wustl.eduZhiyuan Yu Washi","When Evil Calls: Targeted Adversarial Voice over IP Network Han Liu Washington University in St. Louis St. Louis, USA h.liu1@wustl.eduZhiyuan Yu",atk,Evasion,DL,Audio,YES,YES,YES,Black-box,,NO,High,High,0,1,0,0,0,0,1
2022,ACM,3548606.3560675.pdf,Enhanced Membership Inference Attacks against Machine Learning Models Jiayuan Ye National University of Singapore (NUS) jiayuan@comp.nus.edu.sgAadyaa ,Learning Models Jiayuan Ye National University of Singapore (NUS) jiayuan@comp.nus.edu.sgAadyaa Maddi,atk,Privacy,DL,Images,YES,YES,NO,Black-box,,NO,High,Low,0,1,0,0,0,1,2
2022,ACM,3548606.3560678.pdf,LoneNeuron: A Highly-Effective Feature-Domain Neural Trojan Using Invisible and Polymorphic Watermarks Zeyan Liu Department of EECS and Institute of I,"Using Invisible and Polymorphic Watermarks Zeyan Liu Department of EECS and Institute of Information Sciences The University of Kansas, Lawrence, KS, USA zyliu@ku.eduFengjun Li",atk,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560683.pdf,Order-Disorder: Imitation Adversarial Attacks for Black-box Neural Ranking Models Jiawei Liu Wuhan University laujames2017@whu.edu.cnYangyang Kang Ali,"Neural Ranking Models Jiawei Liu Wuhan University laujames2017@whu.edu.cnYangyang Kang Alibaba Group, China",atk,Evasion,DL,Text,YES,YES,NO,Black-box,Partial,YES,High,High,1,1,0,0,0,1,3
2022,ACM,3548606.3560684.pdf,Membership Inference Attacks by Exploiting Loss Trajectory Yiyong Liu CISPA Helmholtz Center for Information SecurityZhengyu Zhao CISPA Helmholtz Cent,CISPA Helmholtz Center for Information SecurityZhengyu Zhao CISPA Helmholtz Center for Information Security Michael Backes CISPA Helmholtz Center for,atk,Privacy,DL,Images,YES,YES,NO,Black-box,Partial,NO,Low,Low,0,0,0,0,0,1,1
2022,ACM,3548606.3560694.pdf,Membership Inference Attacks and Generalization: A Causal Perspective Teodora Baluta National University of Singapore Singapore teobaluta@comp.nus.edu,A Causal Perspective Teodora Baluta National University of Singapore Singapore teobaluta@comp.nus.edu.sgShiqi Shen,atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,ACM,3548606.3560705.pdf,LPGNet: Link Private Graph Networks for Node Classification Aashish Kolluri aashish7@comp.nus.edu.sg National University of Singapore School of Comput,LPGNet: Link Private Graph Networks for Node Classification Aashish Kolluri aashish7@comp.nus.edu.sg National University of Singapore School of Computing,def,Privacy,DL,Other,YES,YES,NO,Black-box,,YES,High,Low,1,1,0,0,0,1,3
2022,IEEE,131600a346.pdf,BadEncoder: Backdoor Attacks to Pre-trained Encoders in Self-Supervised Learning Jinyuan Jia∗Yupei Liu∗Neil Zhenqiang Gong Duke University {jinyuan.ji,"Encoders in Self-Supervised Learning Jinyuan Jia∗Yupei Liu∗Neil Zhenqiang Gong Duke University {jinyuan.jia, yupei.liu, neil.gong }@duke.edu Abstract —Self-supervised learning in computer vision aims ",atk,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600a415.pdf,"Universal 3-Dimensional Perturbations for Black-Box Attacks on Video Recognition Systems Shangyu Xie1, Han Wang1, Yu Kong2, Yuan Hong1 1Illinois Insti","1Illinois Institute of Technology, Chicago, IL 60616 2Rochester Institute of Technology, Rochester, NY 14623 Email:fsxie14, hwang185g@hawk.iit.edu, yu.kong@rit.edu, yuan.hong@iit.edu Abstract —Widely ",atk,Evasion,DL,Images,YES,YES,NO,Black-box,,NO,Low,Low,0,0,0,0,0,1,1
2022,IEEE,131600a522.pdf,LINKTELLER : Recovering Private Edges from Graph Neural Networks via Inﬂuence Analysis Fan Wu1Yunhui Long1Ce Zhang2Bo Li1 1University of Illinois at U,"Graph Neural Networks via Inﬂuence Analysis Fan Wu1Yunhui Long1Ce Zhang2Bo Li1 1University of Illinois at Urbana-Champaign2ETH Z ¨urich ffanw6,ylong4,lbo g@illinois.edu ce.zhang@inf.ethz.ch Abstract —",atk,Privacy,DL,Other,YES,YES,NO,Black-box,Full,YES,High,Low,1,1,0,0,0,1,3
2022,IEEE,131600a773.pdf,Bad ‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌‌,Imperceptible NLP Attacks Nicholas Boucher University of Cambridge Computer Science & Technology nicholas.boucher@cl.cam.ac.ukIlia Shumailov,atk,Evasion,DL,Text,YES,YES,YES,Black-box,,NO,Low,Low,0,0,0,0,0,0,0
2022,IEEE,131600a980.pdf,"Asleep at the Keyboard? Assessing the Security of GitHub Copilot’s Code Contributions Hammond Pearce Department of ECE New York University Brooklyn, N","Security of GitHub Copilot’s Code Contributions Hammond Pearce Department of ECE New York University Brooklyn, NY , USA",def,,DL,Other,YES,YES,NO,Black-box,,NO,,Low,0,0,0,0,0,1,1
2022,IEEE,131600b013.pdf,"Copy, Right? A Testing Framework for Copyright Protection of Deep Learning Models Jialuo Chen∗, Jingyi Wang∗/Letter, Tinglan Peng∗, Y oucheng Sun†, Pe","Jialuo Chen∗, Jingyi Wang∗/Letter, Tinglan Peng∗, Y oucheng Sun†, Peng Cheng∗, Shouling Ji∗, Xingjun Ma‡,B oL i§and Dawn Song¶ ∗Zhejiang University,†University of Manchester,‡Fudan University,§UIUC,¶U",def,,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b031.pdf,Model Stealing Attacks Against Inductive Graph Neural Networks Yun Shen1Xinlei He2Yufei Han3Yang Zhang2 1Norton Research Group2CISPA Helmholtz Cente,Yun Shen1Xinlei He2Yufei Han3Yang Zhang2 1Norton Research Group2CISPA Helmholtz Center for Information Security3INRIA Abstract —Many real-world data come in the form of graphs. Graph neural networks,atk,Evasion,DL,Other,YES,YES,NO,Black-box,,NO,High,Low,0,1,0,0,0,1,2
2022,IEEE,131600b117.pdf,"Back to the Drawing Board: A Critical Evaluation of Poisoning Attacks on Production Federated Learning Virat Shejwalkar∗, Amir Houmansadr∗, Peter Kair","Production Federated Learning Virat Shejwalkar∗, Amir Houmansadr∗, Peter Kairouz†, Daniel Ramage† ∗University of Massachusetts Amherst†Google Research ∗{vshejwalkar, amir }@cs.umass.edu,†{kairouz, dra",atk,Poisoning,DL,Images,YES,NO,NO,White-box,Partial,YES,High,Low,1,1,1,0,1,1,5
2022,IEEE,131600b135.pdf,Sphinx: Enabling Privacy-Preserving Online Learning over the Cloud Han Tian1Chaoliang Zeng1Zhenghang Ren1Di Chai1;2Junxue Zhang1;2Kai Chen1Qiang Yang1,Sphinx: Enabling Privacy-Preserving Online Learning over the Cloud Han Tian1Chaoliang Zeng1Zhenghang Ren1Di Chai1;2Junxue Zhang1;2Kai Chen1Qiang Yang1 1Hong Kong University of Science and Technology2C,def,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b165.pdf,"Transcending T RANSCEND : Revisiting Malware Classiﬁcation in the Presence of Concept Drift Federico Barberoyk, Feargus Pendleburyzx{, Fabio Pierazz","Classiﬁcation in the Presence of Concept Drift Federico Barberoyk, Feargus Pendleburyzx{, Fabio Pierazziy, Lorenzo Cavallaro{ yKing’s College London,zRoyal Holloway, University of London,xThe Alan T",def,,Both,Malware,YES,YES,NO,Black-box,,NO,Low,Low,0,0,0,0,0,1,1
2022,IEEE,131600b344.pdf,"Model Orthogonalization: Class Distance Hardening in Neural Networks for Better Security Guanhong Tao, Yingqi Liu, Guangyu Shen, Qiuling Xu, Shengwei ","in Neural Networks for Better Security Guanhong Tao, Yingqi Liu, Guangyu Shen, Qiuling Xu, Shengwei An, Zhuo Zhang, Xiangyu Zhang Department of Computer Science, Purdue University Email: {taog, liu175",def,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b519.pdf,Membership Inference Attacks From First Principles Nicholas Carlini1Steve Chien1Milad Nasr1;2Shuang Song1Andreas Terzis1Florian Tram `er1 1Google Res,Membership Inference Attacks From First Principles Nicholas Carlini1Steve Chien1Milad Nasr1;2Shuang Song1Andreas Terzis1Florian Tram `er1 1Google Research2University of Massachusetts Amherst Abstract,atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b526.pdf,"IRShield: A Countermeasure Against Adversarial Physical-Layer Wireless Sensing Paul Staat, Simon Mulzery, Stefan Rothy, Veelasha Moonsamyy, Markus He","Markus Heinrichsz, Rainer Kronbergerz, Aydin Sezginy, Christof Paar Max Planck Institute for Security and Privacy, Bochum, Germany yRuhr University Bochum, Bochum, Germany zTH K ¨oln – University of",def,Privacy,Both,Other,YES,YES,NO,Black-box,,NO,Low,Low,0,0,0,0,0,1,1
2022,IEEE,131600b532.pdf,Spinning Language Models: Risks of Propaganda-As-A-Service and Countermeasures Eugene Bagdasaryan Cornell Tech eugene@cs.cornell.eduVitaly Shmatikov C,Eugene Bagdasaryan Cornell Tech eugene@cs.cornell.eduVitaly Shmatikov Cornell Tech shmat@cs.cornell.edu,atk,Poisoning,DL,Text,YES,YES,NO,Black-box,,YES,High,High,1,1,0,0,0,1,3
2022,IEEE,131600b542.pdf,"“Adversarial Examples” for Proof-of-Learning Rui Zhang†, Jian Liu†∗, Yuan Ding, Zhibo Wang, Qingbiao Wu, and Kui Ren Zhejiang University Email: {zhang","“Adversarial Examples” for Proof-of-Learning Rui Zhang†, Jian Liu†∗, Yuan Ding, Zhibo Wang, Qingbiao Wu, and Kui Ren Zhejiang University Email: {zhangrui98, liujian2411, dy1ant, zhibowang, qbwu, kuire",atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b547.pdf,"Are We There Yet? Timing and Floating-Point Attacks on Differential Privacy Systems Jiankai Jin, Eleanor McMurtryyz, Benjamin I. P. Rubinstein, Olga","Attacks on Differential Privacy Systems Jiankai Jin, Eleanor McMurtryyz, Benjamin I. P. Rubinstein, Olga Ohrimenko School of Computing and Information Systems, The University of Melbourne yDepartm",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b551.pdf,"DeepSteal: Advanced Model Extractions Leveraging Efﬁcient Weight Stealing in Memories Adnan Siraj Rakin*1, Md Haﬁzul Islam Chowdhuryy*2, Fan Yao2, and","Weight Stealing in Memories Adnan Siraj Rakin*1, Md Haﬁzul Islam Chowdhuryy*2, Fan Yao2, and Deliang Fan1 1School of Electrical, Computer, and Energy Engineering, Arizona State University, Tempe, AZ 2",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b552.pdf,"SoK: Authentication in Augmented and Virtual Reality Sophie Stephensony, Bijeeta Palz, Stephen Fany, Earlence Fernandesy, Yuhang Zhaoy, Rahul Chatterj","SoK: Authentication in Augmented and Virtual Reality Sophie Stephensony, Bijeeta Palz, Stephen Fany, Earlence Fernandesy, Yuhang Zhaoy, Rahul Chatterjeey yUniversity of Wisconsin—Madison, zCornell Uni",def,,Both,Other,YES,NO,NO,Black-box,,NO,,Low,0,0,0,0,1,1,2
2022,IEEE,131600b556.pdf,Reconstructing Training Data with Informed Adversaries Borja Balle* DeepMindGiovanni Cherubin*† Microsoft ResearchJamie Hayes* DeepMind Abstract —Give,"Borja Balle* DeepMindGiovanni Cherubin*† Microsoft ResearchJamie Hayes* DeepMind Abstract —Given access to a machine learning model, can an adversary reconstruct the model’s training data? This work",atk,Privacy,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b561.pdf,"PICCOLO : Exposing Complex Backdoors in NLP Transformer Models Yingqi Liu1*, Guangyu Shen1*, Guanhong Tao1, Shengwei An1, Shiqing Ma2, Xiangyu Zhang1 ","Transformer Models Yingqi Liu1*, Guangyu Shen1*, Guanhong Tao1, Shengwei An1, Shiqing Ma2, Xiangyu Zhang1 Purdue University1, Rutgers University2, {liu1751, shen447, taog, an93 }@purdue.edu ,sm2283@cs",atk,Evasion,DL,Text,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,IEEE,131600b569.pdf,Property Inference from Poisoning Saeed Mahloujifar Princeton University sfar@princeton.eduEsha Ghosh Microsoft Research esha.ghosh@microsoft.comMelis,Property Inference from Poisoning Saeed Mahloujifar Princeton University sfar@princeton.eduEsha Ghosh Microsoft Research,atk,Poisoning,DL,Images,YES,YES,NO,Black-box,Full,NO,High,Low,0,1,0,0,0,1,2
2022,IEEE,131600b576.pdf,"Transfer Attacks Revisited: A Large-Scale Empirical Study in Real Computer Vision Settings Yuhao Maoy, Chong Fu, Saizhuo Wang, Shouling Ji()), Xuh","Yuhao Maoy, Chong Fu, Saizhuo Wang, Shouling Ji()), Xuhong Zhangz()), Zhenguang Liu, Jun Zhoux, Alex X. Liux, Raheem Beyah{, Ting Wangk Zhejiang University,yETH Z ¨urich,zZhejiang University N",atk,Evasion,DL,Images,YES,YES,NO,Black-box,,NO,High,Low,0,1,0,0,0,1,2
2022,NDS,2022-130-paper.pdf,Fooling the Eyes of Autonomous Vehicles: Robust Physical Adversarial Examples Against Trafﬁc Sign Recognition Systems Wei Jia School of Cyber Science ,School of Cyber Science and Engineering Huazhong Univ. of Sci. & Tech. jiaw@hust.edu.cnZhaojun Lu* School of Cyber Science and Engineering Huazhong Univ. of Sci. & Tech.,atk,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,NDS,2022-156-paper.pdf,"DeepSight: Mitigating Backdoor Attacks in Federated Learning Through Deep Model Inspection Phillip Rieger, Thien Duc Nguyen, Markus Miettinen, Ahmad-R","Federated Learning Through Deep Model Inspection Phillip Rieger, Thien Duc Nguyen, Markus Miettinen, Ahmad-Reza Sadeghi Technical University of Darmstadt, Germany fphillip.rieger, ducthien.nguyen, mar",def,Poisoning,DL,Text,YES,NO,NO,White-box,,NO,Low,Low,0,0,1,0,1,1,3
2022,NDS,2022-19-paper.pdf,"Property Inference Attacks Against GANs Junhao Zhou†∗, Yufei Chen†∗, Chao Shen†§, Yang Zhang‡§ †Faculty of Electronic and Information Engineering, Xi’","Property Inference Attacks Against GANs Junhao Zhou†∗, Yufei Chen†∗, Chao Shen†§, Yang Zhang‡§ †Faculty of Electronic and Information Engineering, Xi’an Jiaotong University ‡CISPA Helmholtz Center for",atk,Privacy,DL,Images,YES,YES,NO,Black-box,Full,YES,High,Low,1,1,0,0,0,1,3
2022,NDS,2022-200-paper.pdf,RamBoAttack: A Robust Query Efﬁcient Deep Neural Network Decision Exploit Viet Quoc V o The University of Adelaide viet.vo@adelaide.edu.auEhsan Abbasn,RamBoAttack: A Robust Query Efﬁcient Deep Neural Network Decision Exploit Viet Quoc V o The University of Adelaide viet.vo@adelaide.edu.auEhsan Abbasnejad The University of Adelaide,atk,Evasion,DL,Images,YES,YES,NO,Black-box,,NO,High,High,0,1,0,0,0,1,2
2022,NDS,2022-335-paper.pdf,"MIRROR: Model Inversion for Deep Learning Network with High Fidelity Shengwei An†, Guanhong Tao†, Qiuling Xu†, Yingqi Liu†, Guangyu Shen†, Yuan Yao‡, ","Shengwei An†, Guanhong Tao†, Qiuling Xu†, Yingqi Liu†, Guangyu Shen†, Yuan Yao‡, Jingwei Xu‡, Xiangyu Zhang† †Department of Computer Science, Purdue University, USA ‡State Key Laboratory for Novel Sof",atk,Privacy,DL,Images,YES,YES,YES,White-box,Full,YES,High,Low,1,1,1,0,0,0,3
2022,NDS,2022-54-paper.pdf,Local and Central Differential Privacy for Robustness and Privacy in Federated Learning Mohammad Naseri University College London (UCL) mohammad.naser,Robustness and Privacy in Federated Learning Mohammad Naseri University College London (UCL) mohammad.naseri.19@ucl.ac.ukJamie Hayes∗ DeepMind,both,Poisoning,DL,Images,YES,NO,NO,White-box,Full,YES,High,Low,1,1,1,0,1,1,5
2022,NDS,2022-64-paper.pdf,Get a Model! Model Hijacking Attack Against Machine Learning Models Ahmed Salem Michael Backes Yang Zhang CISPA Helmholtz Center for Information Secur,"Ahmed Salem Michael Backes Yang Zhang CISPA Helmholtz Center for Information Security fahmed.salem, director, zhang g@cispa.de Abstract —Machine learning (ML) has established itself as a cornerstone f",atk,Poisoning,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,USENIX,2108.09135v2.pdf,PatchCleanser: Certiﬁably Robust Defense against Adversarial Patches for Any Image Classiﬁer Chong Xiang Princeton UniversitySaeed Mahloujifar Princet,for Any Image Classiﬁer Chong Xiang Princeton UniversitySaeed Mahloujifar Princeton UniversityPrateek Mittal Princeton University,def,Evasion,DL,Images,YES,YES,NO,White-box,Full,YES,High,Low,1,1,1,0,0,1,4
2022,USENIX,sec22-ahmed.pdf,"This paper is included in the Proceedings of the  31st USENIX Security Symposium. August 10–12, 2022 • Boston, MA, USA 978-1-939133-31-1 Open access t","sponsored by USENIX.Towards More Robust Keyword Spotting  for Voice Assistants Shimaa Ahmed, University of Wisconsin-Madison; Ilia Shumailov,   University of Cambridge; Nicolas Papernot, University of",def,Privacy,DL,Audio,YES,YES,YES,White-box,Full,YES,High,Low,1,1,1,0,0,0,3
