Paper_ID,Year,Conference,Filename,G1,G2,G3,G4,G5,G6,T1,Q1,Q2
70,2024,ACM,3658644.3670395.pdf,def,NA,Images,No,No,No,NA,NA,NA
71,2024,ACM,3658644.3690185.pdf,both,Privacy,Images,No,Yes,No,Black-box,Yes,None
72,2024,ACM,3658644.3690187.pdf,both,Poisoning,Other,No,Yes,No,NA,NA,NA
73,2024,ACM,3658644.3690194.pdf,atk,Privacy,Images,No,Yes,No,White-box,Yes,High
74,2024,ACM,3658644.3690202.pdf,both,Privacy,Images,No,Yes,No,Black-box,No,Low
75,2024,ACM,3658644.3690205.pdf,atk,Poisoning,Images,No,No,No,Black-box,No,None
76,2024,ACM,3658644.3690208.pdf,def,Evasion,Malware,No,Yes,No,NA,NA,NA
77,2024,ACM,3658644.3690226.pdf,def,Privacy,Images,No,Yes,No,Black-box,No,High
78,2024,ACM,3658644.3690238.pdf,def,NA,Images,No,No,No,NA,NA,NA
79,2024,ACM,3658644.3690250.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
80,2024,ACM,3658644.3690268.pdf,both,Privacy,Images,No,No,No,White-box,Yes,None
81,2024,ACM,3658644.3690279.pdf,atk,Privacy,Text,No,No,No,Black-box,No,Low
82,2024,ACM,3658644.3690284.pdf,atk,Poisoning,Images,No,Yes,No,Black-box,Yes,None
83,2024,ACM,3658644.3690291 (1).pdf,atk,Evasion,Text,No,No,No,Black-box,Yes,High
84,2024,ACM,3658644.3690291.pdf,atk,Evasion,Text,No,No,No,Black-box,Yes,High
85,2024,ACM,3658644.3690292.pdf,atk,Privacy,Text,No,Yes,No,White-box,Yes,None
86,2024,ACM,3658644.3690295.pdf,atk,Privacy,Text,No,Yes,No,Gray-box,Yes,None
87,2024,ACM,3658644.3690297.pdf,def,NA,Images,No,Yes,No,NA,NA,NA
88,2024,ACM,3658644.3690304.pdf,atk,Privacy,Other,No,No,No,White-box,Yes,None
89,2024,ACM,3658644.3690305.pdf,def,NA,Audio,No,No,No,NA,NA,NA
90,2024,ACM,3658644.3690306.pdf,both,Privacy,Text,No,No,Yes,Black-box,No,Low
91,2024,ACM,3658644.3690311.pdf,def,NA,Audio,No,No,Yes,NA,NA,NA
92,2024,ACM,3658644.3690316 (1).pdf,atk,Privacy,Images,No,Yes,No,Black-box,No,Low
93,2024,ACM,3658644.3690316.pdf,atk,Privacy,Images,No,Yes,No,Black-box,No,Low
94,2024,ACM,3658644.3690317.pdf,atk,Privacy,Images,No,Yes,No,Black-box,No,None
95,2024,ACM,3658644.3690325.pdf,atk,Privacy,Text,No,Yes,Yes,Black-box,No,Low
96,2024,ACM,3658644.3690327.pdf,def,NA,Images,No,Yes,No,NA,NA,NA
97,2024,ACM,3658644.3690334.pdf,atk,Poisoning,Images,No,Yes,No,White-box,Yes,None
98,2024,ACM,3658644.3690335 (1).pdf,atk,Privacy,Other,No,Yes,No,Black-box,No,High
99,2024,ACM,3658644.3690335.pdf,atk,Privacy,Other,No,Yes,No,Black-box,No,High
100,2024,ACM,3658644.3690337.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
101,2024,ACM,3658644.3690338.pdf,both,Multiple,Text,No,Yes,Yes,Black-box,No,Low
102,2024,ACM,3658644.3690343.pdf,atk,Evasion,Images,No,Yes,No,Black-box,No,High
103,2024,ACM,3658644.3690346.pdf,atk,Evasion,Text,No,No,Yes,Black-box,No,High
104,2024,ACM,3658644.3690369.pdf,atk,Poisoning,Images,No,No,No,Black-box,No,None
105,2025,ACM,2308.11333v2.pdf,def,Poisoning,Images,No,No,No,NA,NA,NA
106,2025,ACM,2403.02817v2.pdf,both,Multiple,Text,No,Yes,No,Black-box,No,Low
107,2025,ACM,2406.05810v1.pdf,atk,Evasion,Images,No,No,No,White-box/Black-box,Yes,None
108,2025,ACM,2501.05928v2.pdf,atk,Poisoning,Images,No,Yes,No,White-box,Yes,None
109,2025,ACM,2501.06533v2.pdf,both,Privacy,Images,No,No,No,Black-box,Yes,High
110,2025,ACM,2504.15942v1.pdf,atk,Evasion,Other,No,Yes,No,White-box,Yes,None
111,2025,ACM,2505.19840v2.pdf,atk,Evasion,Images,No,Yes,Yes,Black-box,No,None
112,2025,ACM,2505.24842v2.pdf,atk,Poisoning,Text,No,No,No,Black-box,No,Low
113,2025,ACM,2506.05402v1.pdf,def,NA,Images,No,No,No,NA,NA,NA
114,2025,ACM,2506.21874v1.pdf,atk,Poisoning,Images,No,No,Yes,White-box/Black-box,Yes,None
115,2025,ACM,2509.06071v1.pdf,both,Evasion,Images,No,No,Yes,White-box/Black-box,Yes,Low
116,2025,ACM,2509.11745v3.pdf,both,Evasion,Images,No,No,No,White-box,No,None
117,2025,ACM,2509.15499v1.pdf,def,NA,Malware,No,Yes,No,NA,NA,NA
118,2025,ACM,2510.01676v1.pdf,both,Evasion,Malware,No,No,Yes,White-box/Black-box,Yes,None
119,2025,ACM,VNET.pdf,atk,Poisoning,Images,No,Yes,No,White-box,Yes,None
120,2025,ACM,ccs25.pdf,def,NA,Malware,No,Yes,No,NA,NA,NA
121,2022,IEEE,131600a346.pdf,atk,Poisoning,Images,No,Yes,No,White-box,Yes,None
122,2022,IEEE,131600a415.pdf,atk,Evasion,Images,No,No,No,Black-box,No,None
123,2022,IEEE,131600a522.pdf,both,Privacy,Other,No,No,No,Black-box,No,High
124,2022,IEEE,131600a773.pdf,both,Evasion,Text,No,Yes,Yes,Black-box,No,High
125,2022,IEEE,131600a980.pdf,def,NA,Text,No,Yes,No,NA,NA,NA
126,2022,IEEE,131600b013.pdf,def,Privacy,Multiple,No,Yes,No,White-box/Black-box,NA,NA
127,2022,IEEE,131600b031.pdf,atk,Privacy,Other,No,Yes,No,Black-box,No,High
128,2022,IEEE,131600b117.pdf,both,Poisoning,Other,No,No,No,White-box/Black-box,Yes,None
129,2022,IEEE,131600b135.pdf,def,Privacy,Images,No,No,No,NA,NA,NA
130,2022,IEEE,131600b165.pdf,def,NA,Malware,No,Yes,No,NA,NA,NA
131,2022,IEEE,131600b344.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
132,2022,IEEE,131600b519.pdf,atk,Privacy,Images,No,Yes,No,Black-box,No,High
133,2022,IEEE,131600b526.pdf,def,Privacy,Other,No,Yes,No,NA,NA,NA
134,2022,IEEE,131600b532.pdf,both,Poisoning,Text,No,Yes,No,White-box,Yes,None
135,2022,IEEE,131600b542.pdf,atk,Evasion,Images,No,No,No,White-box,Yes,None
136,2022,IEEE,131600b547.pdf,atk,Privacy,Other,No,No,No,Black-box,No,Low
137,2022,IEEE,131600b551.pdf,atk,Privacy,Images,No,No,No,Gray-box,No,None
138,2022,IEEE,131600b552.pdf,def,NA,Other,No,No,Yes,NA,NA,NA
139,2022,IEEE,131600b556.pdf,both,Privacy,Images,No,Yes,No,White-box,No,None
140,2022,IEEE,131600b561.pdf,def,Poisoning,Text,No,Yes,No,NA,NA,NA
141,2022,IEEE,131600b569.pdf,atk,Privacy,Other,No,Yes,No,Black-box,No,High
142,2022,IEEE,131600b576.pdf,atk,Evasion,Images,No,Yes,Yes,Black-box,No,None
143,2023,IEEE,10351028.pdf,def,Poisoning,Images,No,No,No,White-box,NA,NA
144,2023,IEEE,2009.04131v9.pdf,def,Evasion,Images,No,Yes,No,NA,NA,NA
145,2023,IEEE,2112.04558v2.pdf,def,NA,Images,No,No,No,NA,NA,NA
146,2023,IEEE,2201.02775v4.pdf,atk,Evasion,Other,No,No,No,Black-box,Yes,High
147,2023,IEEE,2208.12348v2.pdf,atk,Privacy,Other,No,Yes,No,Black-box,No,High
148,2023,IEEE,2210.10936v1.pdf,def,Poisoning,Other,No,No,No,NA,NA,NA
149,2023,IEEE,2302.00539v4.pdf,atk,Privacy,Text,No,Yes,No,Black-box,No,High
150,2023,IEEE,3DFed_Adaptive_and_Extensible_Framework_for_Covert_Backdoor_Attack_in_Federated_Learning.pdf,atk,Poisoning,Images,No,Yes,No,Black-box,Yes,None
151,2023,IEEE,3d-spoof-sp23.pdf,atk,Evasion,Images,No,No,Yes,Black-box,No,High
152,2023,IEEE,933600a019.pdf,both,Evasion,Text,No,Yes,No,Black-box,No,None
153,2023,IEEE,933600a076.pdf,def,Privacy,Other,No,Yes,No,NA,NA,NA
154,2023,IEEE,933600a327.pdf,def,Privacy,Other,No,No,No,White-box,NA,NA
155,2023,IEEE,933600a346.pdf,atk,Privacy,Text,No,Yes,No,Black-box,No,High
156,2023,IEEE,933600a432.pdf,atk,Privacy,Images,No,Yes,Yes,Black-box,No,High
157,2023,IEEE,933600a719.pdf,atk,Poisoning,Malware,No,Yes,No,Gray-box,Yes,None
158,2023,IEEE,933600a755.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
159,2023,IEEE,933600a853.pdf,def,Evasion,Multiple,No,Yes,No,NA,NA,NA
160,2023,IEEE,933600a906.pdf,atk,Poisoning,Audio,No,Yes,No,White-box,Yes,None
161,2023,IEEE,933600b239.pdf,def,Poisoning,Images,No,No,No,Black-box,No,Low
162,2023,IEEE,933600b524.pdf,atk,Evasion,Images,No,Yes,No,Black-box,No,Low
163,2023,IEEE,933600b901.pdf,def,Privacy,Images,No,No,No,Black-box,NA,NA
164,2023,IEEE,933600b935.pdf,atk,Privacy,Other,No,No,No,Black-box,No,Low
165,2023,IEEE,AI-Guardian_Defeating_Adversarial_Attacks_using_Backdoors.pdf,def,Multiple,Images,No,No,No,White-box,NA,NA
166,2023,IEEE,BayBFed_Bayesian_Backdoor_Defense_for_Federated_Learning.pdf,def,Poisoning,Other,No,No,No,NA,NA,NA
167,2023,IEEE,Breaking_Security-Critical_Voice_Authentication.pdf,atk,Evasion,Audio,No,Yes,Yes,Black-box,No,None
168,2023,IEEE,Disguising_Attacks_with_Explanation-Aware_Backdoors.pdf,atk,Poisoning,Images,No,No,No,White-box,Yes,None
169,2023,IEEE,ELSA_Secure_Aggregation_for_Federated_Learning_with_Malicious_Actors.pdf,def,Poisoning,Other,No,No,No,NA,NA,NA
170,2023,IEEE,ImU_Physical_Impersonating_Attack_for_Face_Recognition_System_with_Natural_Style_Changes.pdf,atk,Evasion,Images,No,Yes,Yes,White-box/Black-box,Yes,High
171,2023,IEEE,ObjectSeeker_Certifiably_Robust_Object_Detection_against_Patch_Hiding_Attacks_via_Patch-agnostic_Masking.pdf,def,Evasion,Images,No,Yes,No,White-box,NA,NA
172,2023,IEEE,On_the_Insecurity_of_Peer-to-Peer_Decentralized_Machine_Learning.pdf,atk,Privacy,Images,No,No,No,White-box,Yes,None
173,2023,IEEE,RAB_Provable_Robustness_Against_Backdoor_Attacks.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
174,2023,IEEE,RoFL_Robustness_of_Secure_Federated_Learning.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
175,2023,IEEE,Spectral-DP_Differentially_Private_Deep_Learning_through_Spectral_Perturbation_and_Filtering.pdf,def,Privacy,Images,No,No,No,NA,NA,NA
176,2023,IEEE,Spoofing_Real-world_Face_Authentication_Systems_through_Optical_Synthesis.pdf,atk,Evasion,Images,Yes,No,Yes,Black-box,No,None
177,2023,IEEE,StyleFool_Fooling_Video_Classification_Systems_via_Style_Transfer.pdf,atk,Evasion,Images,No,Yes,No,Black-box,No,High
178,2024,IEEE,2205.06900v2.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
179,2024,IEEE,2311.10500v2.pdf,def,Privacy,Other,No,Yes,No,NA,NA,NA
180,2024,IEEE,313000a002.pdf,def,Privacy,Other,No,No,No,NA,NA,NA
181,2024,IEEE,313000a030.pdf,atk,Privacy,Images,No,No,No,White-box,Yes,None
182,2024,IEEE,313000a052.pdf,def,Privacy,Images,No,Yes,No,White-box/Black-box,NA,NA
183,2024,IEEE,313000a056.pdf,atk,Evasion,Audio,Yes,Yes,Yes,Black-box,No,Low
184,2024,IEEE,313000a061.pdf,def,NA,Text,No,Yes,No,NA,NA,NA
185,2024,IEEE,313000a065.pdf,def,NA,Images,No,No,No,NA,NA,NA
186,2024,IEEE,313000a068.pdf,atk,Evasion,Images,No,Yes,No,Black-box,No,High
187,2024,IEEE,313000a072.pdf,atk,Poisoning,Images,No,Yes,No,Black-box,No,None
188,2024,IEEE,Backdooring_Multimodal_Learning.pdf,atk,Poisoning,Other,No,Yes,No,White-box/Black-box,Yes,None
189,2024,IEEE,BadVFL_Backdoor_Attacks_in_Vertical_Federated_Learning.pdf,atk,Poisoning,Images,No,No,No,Gray-box,Yes,None
190,2024,IEEE,DeepShuffle_A_Lightweight_Defense_Framework_against_Adversarial_Fault_Injection_Attacks_on_Deep_Neural_Networks_in_Multi-Tenant_Cloud-FPGA.pdf,def,NA,Images,No,No,No,NA,NA,NA
191,2024,IEEE,Distribution_Preserving_Backdoor_Attack_in_Self-supervised_Learning.pdf,atk,Poisoning,Images,No,No,No,White-box,Yes,None
192,2024,IEEE,Dropout_Attacks.pdf,atk,Poisoning,Images,No,No,No,White-box,Yes,None
193,2024,IEEE,GrOVe_Ownership_Verification_of_Graph_Neural_Networks_using_Embeddings.pdf,def,Privacy,Other,No,Yes,No,Black-box,NA,NA
194,2024,IEEE,Multi-Instance_Adversarial_Attack_on_GNN-Based_Malicious_Domain_Detection.pdf,atk,Evasion,Other,No,Yes,No,Black-box,No,Low
195,2024,IEEE,Sabre_Cutting_through_Adversarial_Noise_with_Adaptive_Spectral_Filtering_and_Input_Reconstruction.pdf,def,Evasion,Multiple,No,Yes,No,White-box,NA,NA
196,2024,IEEE,Side-Channel-Assisted_Reverse-Engineering_of_Encrypted_DNN_Hardware_Accelerator_IP_and_Attack_Surface_Exploration.pdf,atk,Privacy,Other,No,No,Yes,Gray-box,No,None
197,2024,IEEE,SoK_Explainable_Machine_Learning_in_Adversarial_Environments.pdf,def,NA,Other,No,No,No,NA,NA,NA
198,2024,IEEE,Text-CRS_A_Generalized_Certified_Robustness_Framework_against_Textual_Adversarial_Attacks.pdf,def,Evasion,Text,No,Yes,No,NA,NA,NA
199,2024,IEEE,Why_Does_Little_Robustness_Help_A_Further_Step_Towards_Understanding_Adversarial_Transferability.pdf,atk,Evasion,Images,No,No,Yes,White-box/Black-box,Yes,None
200,2022,NDSS,2022-130-paper.pdf,atk,Evasion,Images,No,No,Yes,Black-box,Yes,None
201,2022,NDSS,2022-156-paper.pdf,def,Poisoning,Other,No,No,No,NA,NA,NA
202,2022,NDSS,2022-19-paper.pdf,atk,Privacy,Images,No,Yes,No,Black-box,No,High
203,2022,NDSS,2022-200-paper.pdf,atk,Evasion,Images,No,Yes,No,Black-box,No,High
204,2022,NDSS,2022-54-paper.pdf,def,Multiple,Other,No,No,No,NA,NA,NA
205,2022,NDSS,2022-64-paper.pdf,atk,Poisoning,Images,Yes,Yes,No,Black-box,No,None
206,2023,NDSS,ndss2023_f103_paper.pdf,def,NA,Images,No,Yes,No,NA,NA,NA
207,2023,NDSS,ndss2023_f243_paper.pdf,def,Evasion,Audio,No,Yes,Yes,Black-box,NA,NA
208,2023,NDSS,ndss2023_f287_paper.pdf,atk,Poisoning,Images,No,Yes,No,White-box,Yes,None
209,2023,NDSS,ndss2023_f394_paper.pdf,atk,Evasion,Other,No,Yes,Yes,Black-box,No,High
210,2023,NDSS,ndss2023_f444_paper.pdf,def,Evasion,Images,No,No,No,NA,NA,NA
211,2023,NDSS,ndss2023_f508_paper.pdf,def,Evasion,Malware,No,Yes,No,NA,NA,NA
212,2023,NDSS,ndss2023_f874_paper.pdf,both,Privacy,Images,No,Yes,No,Gray-box,Yes,None
213,2023,NDSS,ndss2023_f924_paper.pdf,both,Evasion,Other,Yes,No,No,Black-box,No,High
214,2023,NDSS,ndss2023_f944_paper.pdf,def,Poisoning,Images,No,No,No,NA,NA,NA
215,2023,NDSS,ndss2023_s112_paper.pdf,def,Poisoning,Text,No,No,No,NA,NA,NA
216,2023,NDSS,ndss2023_s165_paper.pdf,atk,Evasion,Images,No,No,No,White-box/Black-box,Yes,None
217,2023,NDSS,ndss2023_s171_paper.pdf,atk,Privacy,Images,No,Yes,No,White-box,Yes,None
218,2023,NDSS,ndss2023_s69_paper.pdf,def,Poisoning,Images,No,No,No,White-box,NA,NA
219,2023,NDSS,ndss2023_s70_paper.pdf,both,Evasion,Other,No,Yes,No,NA,NA,NA
220,2023,NDSS,ndss2023_s87_paper.pdf,def,Privacy,Other,No,No,No,NA,Yes,None
221,2024,NDSS,2024-115-paper.pdf,def,Evasion,Text,No,No,No,Black-box,NA,NA
222,2024,NDSS,2024-1190-paper.pdf,def,NA,Text,No,No,No,NA,NA,NA
223,2024,NDSS,2024-1323-paper.pdf,atk,Privacy,Audio,No,Yes,No,White-box/Black-box,No,High
224,2024,NDSS,2024-1366-paper.pdf,atk,Poisoning,Images,No,No,No,White-box,Yes,None
225,2024,NDSS,2024-14-paper.pdf,def,Privacy,Other,No,Yes,No,Black-box,NA,NA
226,2024,NDSS,2024-158-paper.pdf,def,Privacy,Images,No,Yes,No,White-box/Black-box,Yes,None
227,2024,NDSS,2024-164-paper.pdf,atk,Evasion,Images,No,Yes,No,Black-box,Yes,None
228,2024,NDSS,2024-188-paper.pdf,atk,Evasion,Text,No,No,Yes,Black-box,No,High
229,2024,NDSS,2024-200-paper.pdf,def,NA,Audio,No,Yes,Yes,NA,NA,NA
230,2024,NDSS,2024-216-paper.pdf,def,NA,Other,No,Yes,No,NA,NA,NA
231,2024,NDSS,2024-233-paper.pdf,def,Poisoning,Images,No,Yes,No,NA,NA,NA
232,2024,NDSS,2024-238-paper.pdf,def,Poisoning,Text,No,Yes,No,NA,NA,NA
233,2024,NDSS,2024-30-paper.pdf,atk,Evasion,Audio,No,No,No,White-box,Yes,None
234,2024,NDSS,2024-325-paper (1).pdf,both,Privacy,Images,No,Yes,No,White-box,Yes,None
235,2024,NDSS,2024-325-paper.pdf,both,Privacy,Images,No,Yes,No,White-box,Yes,None
236,2024,NDSS,2024-326-paper.pdf,def,Privacy,Images,No,Yes,No,White-box/Black-box,Yes,None
237,2024,NDSS,2024-334-paper.pdf,atk,Poisoning,Images,No,Yes,No,White-box,Yes,None
238,2024,NDSS,2024-360-paper.pdf,def,Privacy,Other,No,No,No,NA,NA,NA
239,2024,NDSS,2024-374-paper.pdf,def,NA,Multiple,No,Yes,No,Black-box,NA,NA
240,2024,NDSS,2024-380-paper.pdf,def,NA,Other,No,No,No,NA,NA,NA
241,2024,NDSS,2024-441-paper.pdf,def,Privacy,Other,No,Yes,No,Black-box,No,Low
242,2024,NDSS,2024-450-paper.pdf,atk,Poisoning,Images,No,No,No,Black-box,Yes,None
243,2024,NDSS,2024-545-paper.pdf,atk,Evasion,Audio,No,No,Yes,Black-box,No,None
244,2024,NDSS,2024-620-paper.pdf,def,Poisoning,Other,No,No,No,NA,NA,NA
245,2024,NDSS,2024-81-paper.pdf,def,Poisoning,Malware,No,Yes,No,NA,NA,NA
246,2024,NDSS,2024-84-paper.pdf,both,Evasion,Images,No,No,No,White-box,Yes,None
247,2024,NDSS,2024-90-paper.pdf,def,Poisoning,Text,No,Yes,No,NA,NA,NA
248,2024,NDSS,2024-920-paper.pdf,atk,Evasion,Images,No,Yes,No,White-box,Yes,None
249,2022,USENIX,2108.09135v2.pdf,def,Evasion,Images,No,Yes,No,White-box,NA,NA
250,2022,USENIX,sec22-ahmed.pdf,def,Evasion,Audio,No,Yes,Yes,White-box,NA,NA
251,2022,USENIX,sec22-arp.pdf,def,NA,Malware,No,No,No,NA,NA,NA
252,2022,USENIX,sec22-blue.pdf,def,NA,Audio,No,Yes,No,NA,NA,NA
253,2022,USENIX,sec22-chen-yufei.pdf,atk,Privacy,Images,No,Yes,No,Black-box,Yes,Low
254,2022,USENIX,sec22-cohen.pdf,atk,Privacy,Other,No,No,Yes,NA,NA,None
255,2022,USENIX,sec22-fu-chong.pdf,atk,Privacy,Other,No,No,No,Gray-box,Yes,None
256,2022,USENIX,sec22-fu-qi.pdf,atk,Evasion,Images,No,No,No,Black-box,No,High
257,2022,USENIX,sec22-hallyburton.pdf,atk,Evasion,Other,No,No,No,Black-box,No,Low
258,2022,USENIX,sec22-jain.pdf,atk,Evasion,Images,No,No,No,White-box/Black-box,No,High
259,2022,USENIX,sec22-li-changjiang.pdf,atk,Evasion,Images,No,No,Yes,Black-box,No,Low
260,2022,USENIX,sec22-li-huiying.pdf,def,Evasion,Images,No,Yes,No,Black-box,NA,NA
261,2022,USENIX,sec22-liu-hongbin.pdf,atk,Poisoning,Images,No,No,No,Black-box,No,None
262,2022,USENIX,sec22-liu-yugeng.pdf,atk,Privacy,Images,No,Yes,No,White-box/Black-box,Yes,High
263,2022,USENIX,sec22-nguyen.pdf,def,Poisoning,Other,No,No,No,NA,NA,NA
264,2022,USENIX,sec22-pan-exploring.pdf,both,Privacy,Images,No,No,No,White-box,Yes,None
